"%d Review(s)","%d Reseña(s)"
"%s Review(s)","%s Reseña(s)"
"(Posted on %s)","(Enviado en %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Agregar nueva reseña"
"Add Your Review","Agregar tu reseña"
"Administrator","Administrador"
"All Reviews","Todas las reseñas"
"All reviews of customer `%s`","Todas las reseñas de `%s`"
"Allow guests to write reviews","Permitir a invitados escribir reseñas"
"Are you sure you want to do this?","Estas seguro de que queres hacer esto?"
"Are you sure?","Estas seguro?"
"Average Customer Rating","Puntuación promedio"
"Average Customer Rating:","Puntuación promedio:"
"Back","Atras"
"Back to Main Product Info","Volver a la info del producto"
"Back to My Reviews","Volver a mis reseñas"
"Back to Product Reviews","Volver a las reseñas"
"Be the first to review this product","Se el primero en escribir una reseña"
"Delete","Borrar"
"Created On","Creado el"
"Customer","Cliente"
"Customer Reviews","Reseñas de clientes"
"Delete Review","Eliminar reseña"
"Detailed Rating","Puntuación detallada"
"Edit Review '%s'","Editar reseña '%s'"
"Guest","Invitado"
"How do you rate this product?","Como calificas este producto?"
"ID","ID"
"Manage Ratings","Administrar puntuaciones"
"My Product Reviews","Mis reseñas"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"Name In Store","Nombre en la tienda"
"New Review","Nueva reseña"
"Nickname","Nickname"
"Pending Reviews","Reseñas pendientes"
"Pending reviews","Reseñas pendientes"
"Pending reviews of customer `%s`","Reseñas pendientes del cliente `%s`"
"Please select a product","Selecciona el producto"
"Please select one of each of the ratings above","Por favor selecciona uno de los puntajes"
"Posted By","Escrito por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Rating","Puntaje del producto"
"Product Rating:","Puntaje del producto:"
"Product Review (submitted on %s):","Reseña del producto (Enviado el %s):"
"Product Reviews","Reseña del producto"
"Product SKU","SKU del producto"
"Qty","Cantidad"
"Rating:","Puntaje:"
"Review","Reseña"
"Review by %s","Reseña hecha por %s"
"Review Details","Detalles de la reseña"
"Reviews and Ratings","Reseñas y Ratings"
"Save Review","Guardar reseña"
"SKU","SKU"
"Status","Estado"
"Submit Review","Enviar reseña"
"Summary of Review","Resumen de tu reseña"
"Summary of review","Resumen de tu reseña"
"Summary of Your Review","Resumen de tu reseña"
"Summary Rating","Rating"
"Title","Titulo"
"Type","Tipo"
"Unable to post review. Please, try again later.","No se pudo enviar tu reseña,por favor intenta nuevamente."
"Update status","Actualizar estado"
"View All Reviews","Ver todas las reseñas"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Websites"
"Write Your Own Review","Escribí tu propia reseña!"
"You have submitted no reviews.","No has enviado ninguna reseña"
"You're reviewing: %s","You're reviewing: %s"
"Your Rating:","Tu Rating:"
"Your Review (submitted on %s):","Tu reseña (enviada el %s):"
"Your review has been accepted for moderation","Tu reseña fue aceptada para ser revisada por el moderador"
